id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,lokasi,alamat,longitude,latitude,bulan,jumlah_pengguna,satuan,tahun
62,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN BABAKAN CIPARAY,"JL. BABAKAN CIPARAY NO.212, BABAKAN CIPARAY, KOTA BANDUNG, JAWA BARAT 40223, INDONESIA",107.583,-6.9373,FEBRUARI,0,ORANG,2017
63,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN BABAKAN CIPARAY,"JL. BABAKAN CIPARAY NO.212, BABAKAN CIPARAY, KOTA BANDUNG, JAWA BARAT 40223, INDONESIA",107.583,-6.9373,MARET,4,ORANG,2017
64,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN BABAKAN CIPARAY,"JL. BABAKAN CIPARAY NO.212, BABAKAN CIPARAY, KOTA BANDUNG, JAWA BARAT 40223, INDONESIA",107.583,-6.9373,APRIL,80,ORANG,2017
65,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN BABAKAN CIPARAY,"JL. BABAKAN CIPARAY NO.212, BABAKAN CIPARAY, KOTA BANDUNG, JAWA BARAT 40223, INDONESIA",107.583,-6.9373,MEI,99,ORANG,2017
66,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN BABAKAN CIPARAY,"JL. BABAKAN CIPARAY NO.212, BABAKAN CIPARAY, KOTA BANDUNG, JAWA BARAT 40223, INDONESIA",107.583,-6.9373,JUNI,81,ORANG,2017
67,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN BABAKAN CIPARAY,"JL. BABAKAN CIPARAY NO.212, BABAKAN CIPARAY, KOTA BANDUNG, JAWA BARAT 40223, INDONESIA",107.583,-6.9373,JULI,127,ORANG,2017
68,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN BABAKAN CIPARAY,"JL. BABAKAN CIPARAY NO.212, BABAKAN CIPARAY, KOTA BANDUNG, JAWA BARAT 40223, INDONESIA",107.583,-6.9373,AGUSTUS,114,ORANG,2017
69,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN BABAKAN CIPARAY,"JL. BABAKAN CIPARAY NO.212, BABAKAN CIPARAY, KOTA BANDUNG, JAWA BARAT 40223, INDONESIA",107.583,-6.9373,SEPTEMBER,145,ORANG,2017
70,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN BABAKAN CIPARAY,"JL. BABAKAN CIPARAY NO.212, BABAKAN CIPARAY, KOTA BANDUNG, JAWA BARAT 40223, INDONESIA",107.583,-6.9373,OKTOBER,150,ORANG,2017
71,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN BABAKAN CIPARAY,"JL. BABAKAN CIPARAY NO.212, BABAKAN CIPARAY, KOTA BANDUNG, JAWA BARAT 40223, INDONESIA",107.583,-6.9373,NOVEMBER,166,ORANG,2017
