id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kota_kabupaten;jumlah_penduduk;satuan;tahun
106;32;JAWA BARAT;3277;KOTA CIMAHI;570.991;RIBU ORANG;2013
107;32;JAWA BARAT;3278;KOTA TASIKMALAYA;651.676;RIBU ORANG;2013
108;32;JAWA BARAT;3279;KOTA BANJAR;179.706;RIBU ORANG;2013
109;32;JAWA BARAT;3201;KABUPATEN BOGOR;5331.15.00;RIBU ORANG;2014
110;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;2422.11.00;RIBU ORANG;2014
111;32;JAWA BARAT;3203;KABUPATEN CIANJUR;2235.42.00;RIBU ORANG;2014
112;32;JAWA BARAT;3204;KABUPATEN BANDUNG;3470.39.00;RIBU ORANG;2014
113;32;JAWA BARAT;3205;KABUPATEN GARUT;2526.19.00;RIBU ORANG;2014
114;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;1728.59.00;RIBU ORANG;2014
115;32;JAWA BARAT;3207;KABUPATEN CIAMIS;1162.01.00;RIBU ORANG;2014
116;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;1049.08.00;RIBU ORANG;2014
117;32;JAWA BARAT;3209;KABUPATEN CIREBON;2109.59.00;RIBU ORANG;2014
118;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;1176.31.00;RIBU ORANG;2014
119;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;1131.52.00;RIBU ORANG;2014
120;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;1682.02.00;RIBU ORANG;2014
121;32;JAWA BARAT;3213;KABUPATEN SUBANG;1513.09.00;RIBU ORANG;2014
122;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;910.007;RIBU ORANG;2014
123;32;JAWA BARAT;3215;KABUPATEN KARAWANG;2250.12.00;RIBU ORANG;2014
124;32;JAWA BARAT;3216;KABUPATEN BEKASI;3122.07.00;RIBU ORANG;2014
125;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;1609.51.00;RIBU ORANG;2014
126;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;388.32.00;RIBU ORANG;2014
127;32;JAWA BARAT;3271;KOTA BOGOR;1030.72;RIBU ORANG;2014
128;32;JAWA BARAT;3272;KOTA SUKABUMI;315.001;RIBU ORANG;2014
129;32;JAWA BARAT;3273;KOTA BANDUNG;2470.08.00;RIBU ORANG;2014
130;32;JAWA BARAT;3274;KOTA CIREBON;304.584;RIBU ORANG;2014
131;32;JAWA BARAT;3275;KOTA BEKASI;2642.51.00;RIBU ORANG;2014
132;32;JAWA BARAT;3276;KOTA DEPOK;2033.51.00;RIBU ORANG;2014
133;32;JAWA BARAT;3277;KOTA CIMAHI;579.015;RIBU ORANG;2014
134;32;JAWA BARAT;3278;KOTA TASIKMALAYA;654.794;RIBU ORANG;2014
135;32;JAWA BARAT;3279;KOTA BANJAR;180.515;RIBU ORANG;2014
136;32;JAWA BARAT;3201;KABUPATEN BOGOR;5459.67;RIBU ORANG;2015
137;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;2434.22.00;RIBU ORANG;2015
138;32;JAWA BARAT;3203;KABUPATEN CIANJUR;2243.09.00;RIBU ORANG;2015
139;32;JAWA BARAT;3204;KABUPATEN BANDUNG;3534.11.00;RIBU ORANG;2015
140;32;JAWA BARAT;3205;KABUPATEN GARUT;2548.72;RIBU ORANG;2015
141;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;1736.00.00;RIBU ORANG;2015
142;32;JAWA BARAT;3207;KABUPATEN CIAMIS;1168.68;RIBU ORANG;2015
143;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;1055.42.00;RIBU ORANG;2015
144;32;JAWA BARAT;3209;KABUPATEN CIREBON;2126.18.00;RIBU ORANG;2015
145;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;1182.11.00;RIBU ORANG;2015
146;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;1137.27.00;RIBU ORANG;2015
147;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;1691.39.00;RIBU ORANG;2015
